title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
"Days with Frog and Toad (Frog and Toad, #4)",Arnold Lobel,https://www.goodreads.com/book/show/94804.Days_with_Frog_and_Toad,Days With Frog and Toad,Arnold Lobel,https://covers.openlibrary.org/b/id/10200227-L.jpg,https://openlibrary.org/works/OL1973387W
Just Me and My Dad,Mercer Mayer,https://www.goodreads.com/book/show/239388.Just_Me_and_My_Dad,Just Me and My Dad,Mercer Mayer,https://covers.openlibrary.org/b/id/165971-L.jpg,https://openlibrary.org/works/OL79001W
The Very Busy Spider,Eric Carle,https://www.goodreads.com/book/show/556511.The_Very_Busy_Spider,The Very Busy Spider,Eric Carle,https://covers.openlibrary.org/b/id/1199659-L.jpg,https://openlibrary.org/works/OL52975W
Aesop’s Fables,Aesop,https://www.goodreads.com/book/show/21348.Aesop_s_Fables,Aesop's Fables,Aesop,https://covers.openlibrary.org/b/id/3043711-L.jpg,https://openlibrary.org/works/OL12129731W
"Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary,https://www.goodreads.com/book/show/91253.Ramona_Quimby_Age_8,"Ramona Quimby, Age 8",Beverly Cleary,https://covers.openlibrary.org/b/id/15064600-L.jpg,https://openlibrary.org/works/OL151947W
"Shiloh (Shiloh, #1)",Phyllis Reynolds Naylor,https://www.goodreads.com/book/show/207153.Shiloh,Shiloh,Phyllis Reynolds Naylor,https://covers.openlibrary.org/b/id/10275959-L.jpg,https://openlibrary.org/works/OL13489W
Don't Let the Pigeon Stay Up Late!,Mo Willems,https://www.goodreads.com/book/show/191117.Don_t_Let_the_Pigeon_Stay_Up_Late_,Don't let the pigeon stay up late!,Mo Willems,https://covers.openlibrary.org/b/id/544914-L.jpg,https://openlibrary.org/works/OL5759999W
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,https://www.goodreads.com/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH,Mrs. Frisby and the Rats of Nimh,Robert C. O'Brien,https://covers.openlibrary.org/b/id/7762286-L.jpg,https://openlibrary.org/works/OL5092623W
Not a Box,Antoinette Portis,https://www.goodreads.com/book/show/220596.Not_a_Box,Not a Box,Antoinette Portis,https://covers.openlibrary.org/b/id/45783-L.jpg,https://openlibrary.org/works/OL277981W
The Tiny Caterpillar and the Great Big Tree,Kelly Moran,https://www.goodreads.com/book/show/6722283-the-tiny-caterpillar-and-the-great-big-tree,Tiny Caterpillar and the Great Big Tree,Kelly Moran,,https://openlibrary.org/works/OL28975348W
Tuesday,David Wiesner,https://www.goodreads.com/book/show/97860.Tuesday,Tuesday,David Wiesner,https://covers.openlibrary.org/b/id/255993-L.jpg,https://openlibrary.org/works/OL2971052W
The Country Bunny and the Little Gold Shoes,DuBose Heyward,https://www.goodreads.com/book/show/532752.The_Country_Bunny_and_the_Little_Gold_Shoes,The Country Bunny and the Little Gold Shoes,DuBose Heyward,https://covers.openlibrary.org/b/id/255459-L.jpg,https://openlibrary.org/works/OL244645W
Diary of a Worm,Doreen Cronin,https://www.goodreads.com/book/show/99296.Diary_of_a_Worm,Diary of a Worm,Doreen Cronin,https://covers.openlibrary.org/b/id/1937663-L.jpg,https://openlibrary.org/works/OL5703636W
The Foot Book: Dr. Seuss's Wacky Book of Opposites,Dr. Seuss,https://www.goodreads.com/book/show/105548.The_Foot_Book,,,,
Walt Disney's Three Little Pigs (A Little Golden Book),Al Dempster,https://www.goodreads.com/book/show/140131.Walt_Disney_s_Three_Little_Pigs,Walt Disneys Three Little Pigs,Milt Banta,,https://openlibrary.org/works/OL25807295W
The Brothers Lionheart,Astrid Lindgren,https://www.goodreads.com/book/show/19312.The_Brothers_Lionheart,,,,
The Wolves in the Walls,Neil Gaiman,https://www.goodreads.com/book/show/22341.The_Wolves_in_the_Walls,The Wolves in the Walls,Neil Gaiman,https://covers.openlibrary.org/b/id/7088416-L.jpg,https://openlibrary.org/works/OL679344W
Alice in Wonderland,Jane Carruth,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland,Alice in Wonderland,Jane Carruth,,https://openlibrary.org/works/OL40715578W
A Pet Banana,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/15823956-a-pet-banana,,,,
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,https://www.goodreads.com/book/show/32979.The_Secret_of_the_Old_Clock,The secret of the old clock,Mildred Augustine Wirt Benson,https://covers.openlibrary.org/b/id/779413-L.jpg,https://openlibrary.org/works/OL39840W
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,https://www.goodreads.com/book/show/2767052-the-hunger-games,The Hunger Games,Suzanne Collins,https://covers.openlibrary.org/b/id/12646537-L.jpg,https://openlibrary.org/works/OL5735363W
Jumanji,Chris Van Allsburg,https://www.goodreads.com/book/show/525995.Jumanji,Jumanji,Chris Van Allsburg,https://covers.openlibrary.org/b/id/255573-L.jpg,https://openlibrary.org/works/OL3743769W
The Miraculous Journey of Edward Tulane,Kate DiCamillo,https://www.goodreads.com/book/show/37186.The_Miraculous_Journey_of_Edward_Tulane,The Miraculous Journey of Edward Tulane,Kate DiCamillo,https://covers.openlibrary.org/b/id/3326249-L.jpg,https://openlibrary.org/works/OL468661W
Pinocchio,Carlo Collodi,https://www.goodreads.com/book/show/180617.Pinocchio,Pinocchio,Carlo Collodi,,https://openlibrary.org/works/OL37819848W
"Danny and the Dinosaur (Danny and the Dinosaur, #1)",Syd Hoff,https://www.goodreads.com/book/show/858037.Danny_and_the_Dinosaur,Danny and the Dinosaur,Syd Hoff,https://covers.openlibrary.org/b/id/36107-L.jpg,https://openlibrary.org/works/OL106091W
Serendipity (Serendipity Books),Stephen Cosgrove,https://www.goodreads.com/book/show/262050.Serendipity,Feather Fin (Serendipity Book),stephen cosgrove,,https://openlibrary.org/works/OL43199110W
"Miss Nelson Is Back (Miss Nelson, #2)",Harry Allard,https://www.goodreads.com/book/show/279692.Miss_Nelson_Is_Back,Miss Nelson is back,Harry Allard,https://covers.openlibrary.org/b/id/255618-L.jpg,https://openlibrary.org/works/OL3237551W
Turtle Wish,Murielle Cyr,https://www.goodreads.com/book/show/19029493-turtle-wish,,,,
The Six Lives of Henry the Eighth: The world's most unlucky cat!,Malcolm McCoard,https://www.goodreads.com/book/show/39816138-the-six-lives-of-henry-the-eighth,,,,
The Library,Sarah Stewart,https://www.goodreads.com/book/show/858586.The_Library,The library,Sarah Stewart,https://covers.openlibrary.org/b/id/8189068-L.jpg,https://openlibrary.org/works/OL12355649W
The Tiger Who Came to Tea,Judith Kerr,https://www.goodreads.com/book/show/1099097.The_Tiger_Who_Came_to_Tea,The Tiger Who Came to Tea,Judith Kerr,https://covers.openlibrary.org/b/id/2306507-L.jpg,https://openlibrary.org/works/OL1742438W
Pierre: A Cautionary Tale in Five Chapters and a Prologue,Maurice Sendak,https://www.goodreads.com/book/show/120715.Pierre,,,,
A Color of His Own,Leo Lionni,https://www.goodreads.com/book/show/225545.A_Color_of_His_Own,A Color of His Own,Leo Lionni,https://covers.openlibrary.org/b/id/7395995-L.jpg,https://openlibrary.org/works/OL17317238W
My First Fun Golf Steps (My First Travel Books Series),Anna Othitis,https://www.goodreads.com/book/show/22030490-my-first-fun-golf-steps,,,,
"Wonder (Wonder, #1)",R.J. Palacio,https://www.goodreads.com/book/show/11387515-wonder,Wonder,R. J. Palacio,https://covers.openlibrary.org/b/id/8223160-L.jpg,https://openlibrary.org/works/OL16142094W
Dragons Don't Dance Ballet,Jennifer Carson,https://www.goodreads.com/book/show/55773277-dragons-don-t-dance-ballet,,,,
Verdi,Janell Cannon,https://www.goodreads.com/book/show/970061.Verdi,Verdi,Janell Cannon,https://covers.openlibrary.org/b/id/14424577-L.jpg,https://openlibrary.org/works/OL86708W
Duck on a Bike,David Shannon,https://www.goodreads.com/book/show/920780.Duck_on_a_Bike,Duck on a Bike,David Shannon,https://covers.openlibrary.org/b/id/275555-L.jpg,https://openlibrary.org/works/OL547370W
The Berenstain Bears and Too Much TV,Stan Berenstain,https://www.goodreads.com/book/show/201138.The_Berenstain_Bears_and_Too_Much_TV,The Berenstain Bears and Too Much TV (First Time Books),Stan Berenstain,https://covers.openlibrary.org/b/id/8475483-L.jpg,https://openlibrary.org/works/OL19359670W
"Hatchet (Brian's Saga, #1)",Gary Paulsen,https://www.goodreads.com/book/show/50.Hatchet,Hatchet,Gary Paulsen,https://covers.openlibrary.org/b/id/11240448-L.jpg,https://openlibrary.org/works/OL8125760W
Richard Scarry's Best Storybook Ever!,Richard Scarry,https://www.goodreads.com/book/show/117170.Richard_Scarry_s_Best_Storybook_Ever_,RICHARD SCARRYS BUSYTOWN STORYBOOKS RICHARD SCARRYS BEST MYSTERIES EVER (The Busy World of Richard Scarry),Richard Scarry,https://covers.openlibrary.org/b/id/434594-L.jpg,https://openlibrary.org/works/OL15032123W
"Moo, Baa, La La La!",Sandra Boynton,https://www.goodreads.com/book/show/4600.Moo_Baa_La_La_La_,"Moo, Baa, La La La (Boynton)",Sandra Boynton,https://covers.openlibrary.org/b/id/437901-L.jpg,https://openlibrary.org/works/OL1738475W
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,https://www.goodreads.com/book/show/59715.The_Authoritative_Calvin_and_Hobbes,,,,
"Good Dog, Carl (Good Dog, Carl, #1)",Alexandra Day,https://www.goodreads.com/book/show/406790.Good_Dog_Carl,"Good dog, Carl",Alexandra Day,https://covers.openlibrary.org/b/id/434094-L.jpg,https://openlibrary.org/works/OL116565W
Cars and Trucks and Things That Go,Richard Scarry,https://www.goodreads.com/book/show/24688.Cars_and_Trucks_and_Things_That_Go,Cars and Trucks and Things That Go,Richard Scarry,,https://openlibrary.org/works/OL31954488W
The Eleventh Hour,Graeme Base,https://www.goodreads.com/book/show/11903.The_Eleventh_Hour,The eleventh hour,Graeme Base,https://covers.openlibrary.org/b/id/596012-L.jpg,https://openlibrary.org/works/OL14055W
Fruzzle's Mystery Talent: A Bed Time Fantasy Story for Children ages 3-10,Karen (Kara) Brueggeman,https://www.goodreads.com/book/show/18930938-fruzzle-s-mystery-talent,,,,
Mr. Brown Can Moo! Can You?,Dr. Seuss,https://www.goodreads.com/book/show/105552.Mr_Brown_Can_Moo_Can_You_,MR. BROWN CAN MOO! CAN YOU?,Dr. Seuss,,https://openlibrary.org/works/OL29301527W
Paddington Bear,Michael Bond,https://www.goodreads.com/book/show/705985.Paddington_Bear,Paddington Bear (Paddington),Michael Bond,https://covers.openlibrary.org/b/id/7076-L.jpg,https://openlibrary.org/works/OL261376W
Put Me in the Zoo,Robert Lopshire,https://www.goodreads.com/book/show/413158.Put_Me_in_the_Zoo,Put me in the zoo,Robert Lopshire,https://covers.openlibrary.org/b/id/6555006-L.jpg,https://openlibrary.org/works/OL2954933W
Aboard the Time Line,Bastian Gregory,https://www.goodreads.com/book/show/57962481-aboard-the-time-line,Aboard the Time Line,Bastian Gregory,,https://openlibrary.org/works/OL28800775W
Time for Bed,Mem Fox,https://www.goodreads.com/book/show/835495.Time_for_Bed,Time for Bed,Mem Fox,https://covers.openlibrary.org/b/id/114082-L.jpg,https://openlibrary.org/works/OL650919W
The Berenstain Bears and Too Much Junk Food,Stan Berenstain,https://www.goodreads.com/book/show/263601.The_Berenstain_Bears_and_Too_Much_Junk_Food,The Berenstain bears and too much junk food,Stan Berenstain,https://covers.openlibrary.org/b/id/6378038-L.jpg,https://openlibrary.org/works/OL16526760W
And Tango Makes Three,Justin Richardson,https://www.goodreads.com/book/show/117997.And_Tango_Makes_Three,And Tango Makes Three,Justin Richardson,https://covers.openlibrary.org/b/id/12356124-L.jpg,https://openlibrary.org/works/OL5709938W
The True Confessions of Charlotte Doyle,Avi,https://www.goodreads.com/book/show/310146.The_True_Confessions_of_Charlotte_Doyle,The True Confessions of Charlotte Doyle,Avi,https://covers.openlibrary.org/b/id/14348791-L.jpg,https://openlibrary.org/works/OL265958W
"The Missing Piece (The Missing Piece, #1)",Shel Silverstein,https://www.goodreads.com/book/show/30122.The_Missing_Piece,The Missing Piece,Shel Silverstein,https://covers.openlibrary.org/b/id/24107-L.jpg,https://openlibrary.org/works/OL3368273W
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,https://www.goodreads.com/book/show/84369.The_Last_Battle,The Last Battle,C.S. Lewis,https://covers.openlibrary.org/b/id/6529226-L.jpg,https://openlibrary.org/works/OL71124W
The Ugly Duckling,Jerry Pinkney,https://www.goodreads.com/book/show/122967.The_Ugly_Duckling,The ugly duckling,Jerry Pinkney,https://covers.openlibrary.org/b/id/432142-L.jpg,https://openlibrary.org/works/OL106193W
"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,https://www.goodreads.com/book/show/24780.The_Book_of_Three,The Book Of Three,Alexander,https://covers.openlibrary.org/b/id/580388-L.jpg,https://openlibrary.org/works/OL270887W
"Ramona the Brave (Ramona, #3)",Beverly Cleary,https://www.goodreads.com/book/show/91248.Ramona_the_Brave,Ramona the Brave,Beverly Cleary,https://covers.openlibrary.org/b/id/10788591-L.jpg,https://openlibrary.org/works/OL151951W
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,The Voyage of the Dawn Treader,C.S. Lewis,https://covers.openlibrary.org/b/id/9184719-L.jpg,https://openlibrary.org/works/OL71132W
Nutcracker,Maurice Sendak,https://www.goodreads.com/book/show/120718.Nutcracker,Nutcracker,Angela Sterling,https://covers.openlibrary.org/b/id/817003-L.jpg,https://openlibrary.org/works/OL18868268W
Cowboy Mike and Winston Attend Cowboy Church,Michael Eastwood,https://www.goodreads.com/book/show/77261407-cowboy-mike-and-winston-attend-cowboy-church,Cowboy Mike and Winston Attend Cowboy Church,Michael Eastwood,https://covers.openlibrary.org/b/id/14745696-L.jpg,https://openlibrary.org/works/OL34394227W
Ish,Peter H. Reynolds,https://www.goodreads.com/book/show/765654.Ish,Ish,Peter H. Reynolds,https://covers.openlibrary.org/b/id/516306-L.jpg,https://openlibrary.org/works/OL2435177W
"Five Children and It (The Psammead Trilogy, #1)",E. Nesbit,https://www.goodreads.com/book/show/45181.Five_Children_and_It,Five Children and It,Edith Nesbit,https://covers.openlibrary.org/b/id/28174-L.jpg,https://openlibrary.org/works/OL99499W
Dr. Seuss's Sleep Book,Dr. Seuss,https://www.goodreads.com/book/show/7772.Dr_Seuss_s_Sleep_Book,Dr. Seuss's sleep book,Dr. Seuss,https://covers.openlibrary.org/b/id/8991079-L.jpg,https://openlibrary.org/works/OL1898285W
"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",Roald Dahl,https://www.goodreads.com/book/show/6687.Charlie_and_the_Great_Glass_Elevator,Charlie and the Great Glass Elevator,Roald Dahl,https://covers.openlibrary.org/b/id/7893583-L.jpg,https://openlibrary.org/works/OL45793W
Quick as a Cricket,Audrey Wood,https://www.goodreads.com/book/show/815263.Quick_as_a_Cricket,Quick as a Cricket,Audrey Wood,https://covers.openlibrary.org/b/id/6555301-L.jpg,https://openlibrary.org/works/OL547427W
Wendall,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/17936052-wendall,Wendall,Othen Donald Dale Cummings,,https://openlibrary.org/works/OL29982331W
If You Take a Mouse to School,Laura Numeroff,https://www.goodreads.com/book/show/826582.If_You_Take_a_Mouse_to_School,If You Take a Mouse to School,Laura Joffe Numeroff,https://covers.openlibrary.org/b/id/24732-L.jpg,https://openlibrary.org/works/OL61455W
The Amazing Super Great Awesome Incredible Fantastic Space Race!,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/15823808-the-amazing-super-great-awesome-incredible-fantastic-space-race,,,,
I'd Rather Be Riding My Bike,Eric Pinder,https://www.goodreads.com/book/show/17555774-i-d-rather-be-riding-my-bike,I'd Rather Be Riding My Bike,Eric Pinder,https://covers.openlibrary.org/b/id/9025140-L.jpg,https://openlibrary.org/works/OL20358448W
Flotsam,David Wiesner,https://www.goodreads.com/book/show/138070.Flotsam,Flotsam,David Wiesner,https://covers.openlibrary.org/b/id/393712-L.jpg,https://openlibrary.org/works/OL2971039W
Just Me and My Mom (A Golden Look-Look Book),Mercer Mayer,https://www.goodreads.com/book/show/386210.Just_Me_and_My_Mom,Just Me and My Mom (A Little Critter Book),Mercer Mayer,https://covers.openlibrary.org/b/id/166076-L.jpg,https://openlibrary.org/works/OL15074780W
"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,https://covers.openlibrary.org/b/id/12632397-L.jpg,https://openlibrary.org/works/OL40867W
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,https://www.goodreads.com/book/show/40605329-the-mysterious-benedict-society,The Mysterious Benedict Society (The Mysterious Benedict Society #1),Trenton Lee Stewart,https://covers.openlibrary.org/b/id/2378898-L.jpg,https://openlibrary.org/works/OL5848457W
Tuck Everlasting,Natalie Babbitt,https://www.goodreads.com/book/show/84981.Tuck_Everlasting,Tuck Everlasting,Natalie Babbitt,https://covers.openlibrary.org/b/id/1471164-L.jpg,https://openlibrary.org/works/OL2775698W
The Friendly Mouse,Sophia R. Tyler,https://www.goodreads.com/book/show/60682770-the-friendly-mouse,,,,
The Egypt Game (Game #1),Zilpha Keatley Snyder,https://www.goodreads.com/book/show/903.The_Egypt_Game,The Egypt game,Zilpha Keatley Snyder,https://covers.openlibrary.org/b/id/282839-L.jpg,https://openlibrary.org/works/OL29899W
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,https://www.goodreads.com/book/show/29127.The_Last_Unicorn,The Last Unicorn,Peter S. Beagle,https://covers.openlibrary.org/b/id/294651-L.jpg,https://openlibrary.org/works/OL26459W
"The Mysterious Corridor (Duke & Michel, #1)",Elias Zapple,https://www.goodreads.com/book/show/22182961-the-mysterious-corridor,Duke and Michel : the Mysterious Corridor Notebook,Elias Zapple,,https://openlibrary.org/works/OL40438855W
If I Ran the Zoo,Dr. Seuss,https://www.goodreads.com/book/show/147029.If_I_Ran_the_Zoo,If I Ran the Zoo,Dr. Seuss,https://covers.openlibrary.org/b/id/10959614-L.jpg,https://openlibrary.org/works/OL261177W
Danny the Champion of the World,Roald Dahl,https://www.goodreads.com/book/show/6690.Danny_the_Champion_of_the_World,Danny The Champion Of The World,Roald Dahl,,https://openlibrary.org/works/OL43168623W
"Half Magic (Tales of Magic, #1)",Edward Eager,https://www.goodreads.com/book/show/225038.Half_Magic,Half Magic (Tales of Magic #1),Edward Eager,https://covers.openlibrary.org/b/id/541270-L.jpg,https://openlibrary.org/works/OL61407W
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,https://www.goodreads.com/book/show/307791.The_City_of_Ember,The City of Ember (The First Book of Ember),Jeanne DuPrau,https://covers.openlibrary.org/b/id/14421081-L.jpg,https://openlibrary.org/works/OL4132752W
Giraffes Can't Dance,Giles Andreae,https://www.goodreads.com/book/show/765148.Giraffes_Can_t_Dance,Giraffes can't dance,Giles Andreae,https://covers.openlibrary.org/b/id/276948-L.jpg,https://openlibrary.org/works/OL73217W
Jay-Pea-Eyes Aka Junior Private Investigators,John  Priest,https://www.goodreads.com/book/show/15901677-jay-pea-eyes-aka-junior-private-investigators,,,,
Dr. Julie Visits Cowboy Mike and Winston,Michael Eastwood,https://www.goodreads.com/book/show/77261401-dr-julie-visits-cowboy-mike-and-winston,,,,
A Day at Blue Mountain Ranch with Cowboy Mike and Winston,Michael Eastwood,https://www.goodreads.com/book/show/58195691-a-day-at-blue-mountain-ranch-with-cowboy-mike-and-winston,,,,
"A Bear Called Paddington (Paddington, #1)",Michael Bond,https://www.goodreads.com/book/show/160629.A_Bear_Called_Paddington,"A Bear Called Paddington - An Omnibus (Paddington Bear #1-3, 5-6)",Michael Bond,https://covers.openlibrary.org/b/id/10295619-L.jpg,https://openlibrary.org/works/OL24542086W
Chicken Little,Steven Kellogg,https://www.goodreads.com/book/show/1101274.Chicken_Little,Chicken Little,Steven Kellogg,https://covers.openlibrary.org/b/id/4194905-L.jpg,https://openlibrary.org/works/OL10550284W
An Elephant Is On My House: And Other Poems,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/22204746-an-elephant-is-on-my-house,,,,
Leo the Late Bloomer,Robert Kraus,https://www.goodreads.com/book/show/225542.Leo_the_Late_Bloomer,Leo the Late Bloomer,Robert Kraus,https://covers.openlibrary.org/b/id/672529-L.jpg,https://openlibrary.org/works/OL99687W
"We Are in a Book! (Elephant & Piggie, #13)",Mo Willems,https://www.goodreads.com/book/show/7846067-we-are-in-a-book,We Are in a Book! (Elephant & Piggie),Mo Willems,https://covers.openlibrary.org/b/id/14416025-L.jpg,https://openlibrary.org/works/OL15371369W
Room on the Broom,Julia Donaldson,https://www.goodreads.com/book/show/177246.Room_on_the_Broom,Room on the Broom,Julia Donaldson,https://covers.openlibrary.org/b/id/10839950-L.jpg,https://openlibrary.org/works/OL1938251W
Just for You (A Golden Look-Look Book),Mercer Mayer,https://www.goodreads.com/book/show/386234.Just_for_You,Just for you,Mercer Mayer,https://covers.openlibrary.org/b/id/4997523-L.jpg,https://openlibrary.org/works/OL79064W
The Five Chinese Brothers,Claire Huchet Bishop,https://www.goodreads.com/book/show/65217.The_Five_Chinese_Brothers,The Five Chinese Brothers,Claire Huchet Bishop,https://covers.openlibrary.org/b/id/6929635-L.jpg,https://openlibrary.org/works/OL3852120W
Timothy Mean and the Time Machine,William A.E. Ford,https://www.goodreads.com/book/show/43617901-timothy-mean-and-the-time-machine,,,,
Black Beauty,Anna Sewell,https://www.goodreads.com/book/show/3685.Black_Beauty,Black Beauty,Anna Sewell,https://covers.openlibrary.org/b/id/5007492-L.jpg,https://openlibrary.org/works/OL15854658W
Waffles and Pancakes,Cindy Springsteen,https://www.goodreads.com/book/show/13606431-waffles-and-pancakes,Waffles and Pancakes,Cindy Springsteen,https://covers.openlibrary.org/b/id/9050536-L.jpg,https://openlibrary.org/works/OL20383383W
The Secret of the Great Red Spot (The Jupiter Chronicles #1),Leonardo Ramirez,https://www.goodreads.com/book/show/15711784-the-secret-of-the-great-red-spot,The Secret of the Great Red Spot,Leonardo Ramirez,https://covers.openlibrary.org/b/id/8836611-L.jpg,https://openlibrary.org/works/OL20187828W
The Carrot Seed,Ruth Krauss,https://www.goodreads.com/book/show/857418.The_Carrot_Seed,The Carrot Seed,Ruth Krauss,https://covers.openlibrary.org/b/id/10935277-L.jpg,https://openlibrary.org/works/OL2040921W
"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper,https://www.goodreads.com/book/show/210329.The_Dark_Is_Rising,The dark is rising,Susan Cooper,https://covers.openlibrary.org/b/id/9363540-L.jpg,https://openlibrary.org/works/OL894245W
"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",A.A. Milne,https://www.goodreads.com/book/show/99110.The_Complete_Tales_and_Poems_of_Winnie_the_Pooh,Complete Tales and Poems of Winnie-the-Pooh,A. A. Milne,https://covers.openlibrary.org/b/id/13795785-L.jpg,https://openlibrary.org/works/OL26459637W
"Jellybean the Dragon (The Jellybean the Dragon Stories, #1)",Elias Zapple,https://www.goodreads.com/book/show/18776164-jellybean-the-dragon,Jellybean the Dragon Notebook,Elias Zapple,,https://openlibrary.org/works/OL40343723W
Momo,Michael Ende,https://www.goodreads.com/book/show/68811.Momo,Momo,Michael Ende,https://covers.openlibrary.org/b/id/14099486-L.jpg,https://openlibrary.org/works/OL35111538W
"Henry Huggins (Henry Huggins, #1)",Beverly Cleary,https://www.goodreads.com/book/show/568476.Henry_Huggins,Henry Huggins,Beverly Cleary,https://covers.openlibrary.org/b/id/15087634-L.jpg,https://openlibrary.org/works/OL151924W
The Jolly Postman or Other People's Letters,Janet Ahlberg,https://www.goodreads.com/book/show/385250.The_Jolly_Postman_or_Other_People_s_Letters,,,,
Elias Zapple's Rhymes from the Cabbage Patch,Elias Zapple,https://www.goodreads.com/book/show/22306115-elias-zapple-s-rhymes-from-the-cabbage-patch,Elias Zapple's Rhymes from the Cabbage Patch,Elias Zapple,,https://openlibrary.org/works/OL28796824W
Happy Halloween,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/20363899-happy-halloween,Happy Halloween,Othen Donald Dale Cummings,https://covers.openlibrary.org/b/id/10470626-L.jpg,https://openlibrary.org/works/OL22485651W
The Quiltmaker's Gift,Jeff Brumbeau,https://www.goodreads.com/book/show/56471.The_Quiltmaker_s_Gift,The quiltmaker's gift,Jeff Brumbeau,https://covers.openlibrary.org/b/id/816277-L.jpg,https://openlibrary.org/works/OL2347633W
The Mysteries of Harris Burdick,Chris Van Allsburg,https://www.goodreads.com/book/show/55734.The_Mysteries_of_Harris_Burdick,The Mysteries of Harris Burdick,Chris Van Allsburg,https://covers.openlibrary.org/b/id/255653-L.jpg,https://openlibrary.org/works/OL3743767W
"Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",Betty MacDonald,https://www.goodreads.com/book/show/25052.Mrs_Piggle_Wiggle_s_Magic,Mrs. Piggle-Wiggle's Magic (Mrs. Piggle-Wiggle #2),Betty MacDonald,https://covers.openlibrary.org/b/id/4617332-L.jpg,https://openlibrary.org/works/OL273760W
Holly Jolly: Campfire Stories,JK Franko Junior,https://www.goodreads.com/book/show/56071182-holly-jolly,,,,
Shapes Las Formas,Othen Donald Dale Cummings,https://www.goodreads.com/book/show/19385031-shapes-las-formas,Shapes Las Formas,Othen Donald Dale Cummings,https://covers.openlibrary.org/b/id/14741632-L.jpg,https://openlibrary.org/works/OL29023486W
"It's Time To Wake, Jake!",Amanda Beth Connolly,https://www.goodreads.com/book/show/50693728-it-s-time-to-wake-jake,"It's Time To Wake, Jake!",Amanda Beth Connolly,https://covers.openlibrary.org/b/id/11494582-L.jpg,https://openlibrary.org/works/OL24750563W
Switch! The Lost Kingdoms of Karibu,Karen  Prince,https://www.goodreads.com/book/show/18333130-switch-the-lost-kingdoms-of-karibu,,,,
"The Wolves of Willoughby Chase (The Wolves Chronicles, #1)",Joan Aiken,https://www.goodreads.com/book/show/36638.The_Wolves_of_Willoughby_Chase,The Wolves of Willoughby Chase (Wolves #1),Joan Aiken,https://covers.openlibrary.org/b/id/239726-L.jpg,https://openlibrary.org/works/OL262048W
Pippi in the South Seas,Astrid Lindgren,https://www.goodreads.com/book/show/19307.Pippi_in_the_South_Seas,Pippi in the South Seas,Astrid Lindgren,,https://openlibrary.org/works/OL32446834W
"Giggle, Giggle, Quack",Doreen Cronin,https://www.goodreads.com/book/show/191170.Giggle_Giggle_Quack,Giggle Giggle Quack (Click Clack Moo),Doreen Cronin,https://covers.openlibrary.org/b/id/479216-L.jpg,https://openlibrary.org/works/OL5703640W
The Seven Silly Eaters,Mary Ann Hoberman,https://www.goodreads.com/book/show/204910.The_Seven_Silly_Eaters,The Seven Silly Eaters,Mary Ann Hoberman,https://covers.openlibrary.org/b/id/112615-L.jpg,https://openlibrary.org/works/OL15043937W
"Over Sea, Under Stone (The Dark is Rising, #1)",Susan Cooper,https://www.goodreads.com/book/show/11312.Over_Sea_Under_Stone,"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,https://covers.openlibrary.org/b/id/436197-L.jpg,https://openlibrary.org/works/OL894247W
Bears in the Night,Stan Berenstain,https://www.goodreads.com/book/show/900067.Bears_in_the_Night,Bears in the Night,Stan Berenstain,https://covers.openlibrary.org/b/id/255199-L.jpg,https://openlibrary.org/works/OL72941W
"Knuffle Bunny Too: A Case of Mistaken Identity (Knuffle Bunny, #2)",Mo Willems,https://www.goodreads.com/book/show/515905.Knuffle_Bunny_Too,,,,
