title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset,,,,
"Judy Moody Was in a Mood. Not a Good Mood. A Bad Mood. (Judy Moody ,#1)",Megan McDonald,https://www.goodreads.com/book/show/930612.Judy_Moody_Was_in_a_Mood_Not_a_Good_Mood_A_Bad_Mood_,,,,
"The Field Guide (The Spiderwick Chronicles, #1)",Tony DiTerlizzi,https://www.goodreads.com/book/show/444304.The_Field_Guide,The field guide,Tony DiTerlizzi,https://covers.openlibrary.org/b/id/437782-L.jpg,https://openlibrary.org/works/OL1868744W
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,https://www.goodreads.com/book/show/7736182-the-lost-hero,The Lost Hero,Rick Riordan,https://covers.openlibrary.org/b/id/12848687-L.jpg,https://openlibrary.org/works/OL15401200W
"The Dumb Bunnies (The Dumb Bunnies, #1)",Sue Denim,https://www.goodreads.com/book/show/802362.The_Dumb_Bunnies,The Dumb Bunnies,Dav Pilkey,https://covers.openlibrary.org/b/id/384452-L.jpg,https://openlibrary.org/works/OL2914011W
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,https://www.goodreads.com/book/show/7090447-the-red-pyramid,The Red Pyramid,Rick Riordan,https://covers.openlibrary.org/b/id/11272966-L.jpg,https://openlibrary.org/works/OL15183119W
Shadow Castle,Marian Cockrell,https://www.goodreads.com/book/show/1112665.Shadow_Castle,Shadow Castle,Marian Cockrell,https://covers.openlibrary.org/b/id/386720-L.jpg,https://openlibrary.org/works/OL6559816W
"Sam, Bangs & Moonshine",Evaline Ness,https://www.goodreads.com/book/show/1025560.Sam_Bangs_Moonshine,"Sam, Bangs & Moonshine",Evaline Ness,https://covers.openlibrary.org/b/id/4967626-L.jpg,https://openlibrary.org/works/OL1687454W
"The Maze of Bones  (The 39 Clues, #1)",Rick Riordan,https://www.goodreads.com/book/show/2921082-the-maze-of-bones,The Maze of Bones,Rick Riordan,https://covers.openlibrary.org/b/id/5723136-L.jpg,https://openlibrary.org/works/OL492645W
"The End (A Series of Unfortunate Events, #13)",Lemony Snicket,https://www.goodreads.com/book/show/65112.The_End,The end,Lemony Snicket,https://covers.openlibrary.org/b/id/755390-L.jpg,https://openlibrary.org/works/OL24850567W
What Katy Did,Susan Coolidge,https://www.goodreads.com/book/show/730501.What_Katy_Did,What Katy Did,Susan Coolidge,https://covers.openlibrary.org/b/id/2324467-L.jpg,https://openlibrary.org/works/OL5114586W
"Pax (Pax, #1)",Sara Pennypacker,https://www.goodreads.com/book/show/22098550-pax,Pax,Sara Pennypacker,https://covers.openlibrary.org/b/id/7442551-L.jpg,https://openlibrary.org/works/OL17364508W
"Smile (Smile, #1)",Raina Telgemeier,https://www.goodreads.com/book/show/6393631-smile,Smile,Raina Telgemeier,https://covers.openlibrary.org/b/id/9147132-L.jpg,https://openlibrary.org/works/OL8756330W
Heather Has Two Mommies,Lesléa Newman,https://www.goodreads.com/book/show/709381.Heather_Has_Two_Mommies,Heather has two mommies,Lesléa Newman,https://covers.openlibrary.org/b/id/775613-L.jpg,https://openlibrary.org/works/OL23132W
"Henry and Beezus (Henry Huggins, #2)",Beverly Cleary,https://www.goodreads.com/book/show/149477.Henry_and_Beezus,Henry and Beezus,Beverly Cleary,https://covers.openlibrary.org/b/id/15088092-L.jpg,https://openlibrary.org/works/OL151922W
Only One Woof,James Herriot,https://www.goodreads.com/book/show/633023.Only_One_Woof,Only one woof,James Herriot,https://covers.openlibrary.org/b/id/6767526-L.jpg,https://openlibrary.org/works/OL42289W
The Incredible Journey,Sheila Burnford,https://www.goodreads.com/book/show/231821.The_Incredible_Journey,The Incredible Journey,Sheila Burnford,https://covers.openlibrary.org/b/id/14539398-L.jpg,https://openlibrary.org/works/OL2562769W
